Song Title,Artist,Song ID,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,bpm,duration (ms),duration (secs),top year
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,4cG7HUWYHBV6R6tHn1gxrl,88,0.8240000000000001,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.8009999999999999,122.98,169153,169.153,2021
telepatía,Kali Uchis,6tDDoYIxWvMLTdKpjFkc1B,87,0.653,0.524,11,-9.016,0,0.0502,0.1119999999999999,0.0,0.203,0.5529999999999999,83.97,160191,160.191,2021
WITHOUT YOU,The Kid LAROI,27OeeYzk6klgBh83TSvGMA,85,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,161385,161.385,2021
Heartbreak Anniversary,Giveon,3FAJ6O0NOHQV8Mc5Ri6ENp,86,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.5429999999999999,89.087,198371,198.371,2021
traitor,Olivia Rodrigo,5CZ40GBx1sQ9agT82CLQCT,92,0.38,0.3389999999999999,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,229227,229.227,2021
Pepas,Farruko,2B4GHvToeLTOBB4QLzW3Ni,86,0.762,0.7659999999999999,7,-3.955,1,0.0343,0.0077599999999999,6.979999999999999e-05,0.128,0.442,130.001,287120,287.12,2021
positions,Ariana Grande,35mvY5S1H3J2QZyna3TFe0,88,0.737,0.802,0,-4.771,1,0.0878,0.4679999999999999,0.0,0.0931,0.682,144.015,172325,172.325,2021
Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,88,0.501,0.405,1,-5.678999999999999,1,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,182161,182.161,2021
Bandido,Myke Towers,1xK1Gg9SxG8fy2Ya373oqb,82,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021,232853,232.853,2021
I WANNA BE YOUR SLAVE,Måneskin,4pt5fDVTg5GhEvEtlz9dKk,88,0.75,0.608,1,-4.008,1,0.0387,0.00165,0.0,0.178,0.958,132.507,173347,173.347,2021
RAPSTAR,Polo G,18vXApRmJSgQ6wG2ll9AOg,82,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,165926,165.926,2021
LA NOCHE DE ANOCHE,Bad Bunny,2XIc1pqjXV3Cr2BQUGNBck,87,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,203201,203.201,2021
Streets,Doja Cat,60ynsPSSKe6O3sfwRnIBRf,87,0.7490000000000001,0.4629999999999999,11,-8.433,1,0.0842,0.21,0.0382,0.3379999999999999,0.1889999999999999,90.035,226987,226.987,2021
Sweater Weather,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6,92,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.1009999999999999,0.3979999999999999,124.053,240400,240.4,2021
Fiel,Los Legendarios,7Bk0uXKk1uPT0XuQbpFzvs,82,0.8490000000000001,0.701,6,-4.407,0,0.06,0.407,0.0,0.1119999999999999,0.505,98.005,261667,261.667,2021
Need to Know,Doja Cat,3Vi5XqYrmQgOYBajMWSvCi,93,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.1939999999999999,130.041,210560,210.56,2021
Don't Start Now,Dua Lipa,3PfIrDoz19wz7qK7tYeu62,84,0.7929999999999999,0.7929999999999999,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,183290,183.29,2021
Lemonade (feat. Gunna Don Toliver & NAV),Internet Money,7hxHWCCAIIxFLCzvDgnQHX,81,0.8,0.6579999999999999,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,195429,195.429,2021
Woman,Doja Cat,6Uj1ctrBOjOas8xZXGqKk4,95,0.8240000000000001,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.1169999999999999,0.8809999999999999,107.998,172627,172.627,2021
Arcade,Duncan Laurence,1J14CdDAvBTE1AJYUOwl6C,78,0.4529999999999999,0.35,9,-11.639,0,0.0425,0.8270000000000001,0.00122,0.144,0.2789999999999999,72.017,185147,185.147,2021
Good Days,SZA,3YJJjQPAbDT7mGpX3WtQ9A,86,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,279.204,2021
Qué Más Pues?,J Balvin,6D2TCm4nf5nxAcdGJ7w3QP,79,0.903,0.8170000000000001,8,-3.972,1,0.095,0.0272,0.0003109999999999,0.242,0.732,102.014,217360,217.36,2021
Head & Heart (feat. MNEK),Joel Corry,6cx06DFPPHchuUAcTxznu9,86,0.7340000000000001,0.8740000000000001,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028,166.028,2021
34+35,Ariana Grande,6Im9k8u9iIzKMrmV7BWtlF,85,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,173711,173.711,2021
you broke me first,Tate McRae,45bE4HXI0AwGZXfZtMp8JR,88,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,169266,169.266,2021
Pareja Del Año,Sebastian Yatra,2rCbl9naJYhaxjLsfx88uM,86,0.715,0.622,4,-5.102,0,0.046,0.163,0.0,0.0948,0.8079999999999999,80.015,195053,195.053,2021
As It Was,Harry Styles,4LRPiXqCikLlN15c3yImP7,92,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,167.303,2022
Heat Waves,Glass Animals,3USxtqRwSYz57Ewm6wWRMp,88,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,238.805,2022
STAY (with Justin Bieber),The Kid LAROI,5HCyWlXZPP0y6Gqq8TgA20,87,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,141.806,2022
Me Porto Bonito,Bad Bunny,6Sq7ltF9Qa7SNFBsV5Cogx,92,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,178567,178.567,2022
Tití Me Preguntó,Bad Bunny,1IHWl5LamUGEuP4ozKQSXZ,90,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717,243.717,2022
Cold Heart - PNAU Remix,Elton John,6zSpb8dQRaw0M1dK8PBwQz,86,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735,202.735,2022
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,1r9xUipOqoNwggBpENDsvJ,83,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,173381,173.381,2022
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2tTmW7RDtMQtBk7m2rYeSw,93,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,198938,198.938,2022
Ojitos Lindos,Bad Bunny,3k3NWokhRRkEPhCzPmV8TW,91,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,258299,258.299,2022
Running Up That Hill (A Deal With God),Kate Bush,1PtQJZVZIdWIYdARpZRDFO,86,0.629,0.545,10,-13.123,0,0.0546,0.719,0.00308,0.0604,0.194,108.376,298933,298.933,2022
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,27NovPIUIRrOZoCHxABJwK,83,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000,212.0,2022
abcdefu,GAYLE,4fouWK6XVHhzl78KzQ1UjL,84,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,168602,168.602,2022
Efecto,Bad Bunny,5Eax0qFko2dh7Rl2lYs3bx,90,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,213061,213.061,2022
Ghost,Justin Bieber,6I3mqTwhRpn34SLVafSH7G,88,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190,153.19,2022
Glimpse of Us,Joji,6xGruZOHLs39ZbVccQTuPZ,86,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456,233.456,2022
Moscow Mule,Bad Bunny,6Xom58OOXk2SoU711L2IXO,88,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,245940,245.94,2022
Shivers,Ed Sheeran,50nfwKoDiSYg8zOCREWAm5,87,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,207853,207.853,2022
Easy On Me,Adele,0gplL1WMoJ6iYaPgMCL0gX,84,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,224.695,2022
MIDDLE OF THE NIGHT,Elley Duhé,58HvfVOeJY7lUuCqF0m3ly,87,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,184448,184.448,2022
Woman,Doja Cat,6Uj1ctrBOjOas8xZXGqKk4,87,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,172.627,2022
Sweater Weather,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6,91,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,240.4,2022
Desesperados,Rauw Alejandro,6mmPpaltUZK7xjNlBPQQ0p,82,0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02,224997,224.997,2022
Another Love,Tom Odell,3JvKfv6T31zO0ini8iNItO,92,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360,244.36,2022
PROVENZA,KAROL G,7dSZ6zGTQx66c2GF91xCrb,85,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,210200,210.2,2022
Bam Bam (feat. Ed Sheeran),Camila Cabello,0QBzMgT7NIeoCYy3sJCof1,82,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,206071,206.071,2022
First Class,Jack Harlow,0wHFktze2PHC5jDt3B17DC,83,0.902,0.582,5,-5.902,0,0.109,0.111,3.18e-06,0.111,0.332,107.005,173948,173.948,2022
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,92,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,200.04,2022
MAMIII,Becky G,1ri9ZUkBJVFUdgwzCnfcYs,81,0.843,0.7,4,-3.563,0,0.0803,0.0934,0.0,0.14,0.899,93.991,226088,226.088,2022
Where Are You Now,Lost Frequencies,3uUuGVFu1V7jTQL60S1r8z,87,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,148197,148.197,2022
Bad Habits,Ed Sheeran,3rmo8F54jFF8OgYsqTxm5d,87,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747,230.747,2022
Pepas,Farruko,5fwSHlTEWpluwOM0Sxnh5k,84,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120,287.12,2022
good 4 u,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,86,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,178.147,2022
Dandelions,Ruth B.,2eAvDnpXP5W0cVtiI0PUxV,90,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,233720,233.72,2022
About Damn Time,Lizzo,1PckUlxKqWQs3RlWXVBLw3,82,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,191822,191.822,2022
THATS WHAT I WANT,Lil Nas X,0e8nrvls4Qqv5Rfa2UhqmO,84,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,143901,143.901,2022
I Ain't Worried,OneRepublic,4h9wh7iOZ0GGn8QVp4RAOB,93,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486,148.486,2022
My Universe,Coldplay,46HNZY1i7O6jwTA7Slo2PI,82,0.573,0.711,1,-6.268,0,0.0406,0.0114,0.0,0.328,0.47,105.006,226198,226.198,2022
La Bachata,Manuel Turizo,5ww2BF9slyYgNOk37BlC4u,91,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,162638,162.638,2022
Una Noche en Medellín,Cris Mj,1O2pcBJGej0pmH2Y9XZMs6,87,0.87,0.548,10,-5.253,0,0.077,0.0924,4.6e-05,0.0534,0.832,96.018,153750,153.75,2022
I Love You So,The Walters,4SqWKzw0CbA05TGszDgMlc,88,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,160240,160.24,2022
Infinity,Jaymes Young,1SOClUWhOi8vHZYMz3GluK,83,0.671,0.673,11,-6.941,0,0.0444,0.148,5.29e-05,0.304,0.494,121.963,237720,237.72,2022
Party,Bad Bunny,4tYFy8ALRjIZvnvSLw5lxN,84,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,227629,227.629,2022
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,89,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,174.0,2022
The Motto,Tiësto,18asYwWugKjjsihZ0YvRxO,84,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,164819,164.819,2022
traitor,Olivia Rodrigo,5CZ40GBx1sQ9agT82CLQCT,87,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,229227,229.227,2022
Late Night Talking,Harry Styles,1qEmFfgcLObUfQm0j1W2CK,89,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,177955,177.955,2022
Until I Found You,Stephen Sanchez,0T5iIrXA4p5GsubkhuBIKV,86,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,177720,177.72,2022
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,4gzsuuZypVbxs0Af1LSZyB,83,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,207301,207.301,2022
Yonaguni,Bad Bunny,2JPLbjOn0wPCngEot2STUS,85,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,206710,206.71,2022
Tarot,Bad Bunny,41oY4WCTj5kccfesTVFnvN,84,0.795,0.684,11,-3.971,0,0.0419,0.0225,0.0,0.658,0.419,114.011,237895,237.895,2022
